MES_VENC;IMP_OSPEVIC;IMP_OSPIF;IMP_OSPLYFC;IMP_OSSURRBAC;IMP_OSPM;IMP_SIN_ASIGNACION
2025-07;688830,3565604797;95014,69338550385;129250,02660146431;211172,55345255212;0,0;116980,91
2025-08;108389,71459012493;45000,070421670134;50258,7841795685;86813,84080863642;0,0;2404802,4
2025-09;555051,6606110361;237329,35613070245;344798,10074402456;595582,4025142369;0,0;2404802,4
2025-10;132797,65901527283;56781,710868252514;82493,90797482147;142494,7521416532;0,0;0,0
2025-11;1913547,219697428;944683,341022039;1027134,9071133984;141197,02216713506;0,0;0,0
2025-12;2274510,266151424;0,0;1516456,6675327942;234657,27631578187;0,0;0,0
2026-01;600000,0;0,0;0,0;0,0;0,0;48864,42
2026-02;1294073,5677860647;45041,92360214943;25667,21164960683;8262,936962178945;0,0;5000000,0
2026-03;600000,0;0,0;0,0;0,0;0,0;0,0
2026-04;24139372,21187468;8531335,55872138;856467,4294039462;0,0;0,0;0,0
2026-05;172591789,52432188;57438988,59001831;11338044,070789848;1136490,1533630523;1031481,2815069179;13821906,04
2026-06;164506796,70754856;76398299,2492637;15915370,846188068;2662196,1633226457;1252975,2236770224;19888465,59
2026-07;119183770,94307093;32776290,983593006;12509563,227881016;2822774,962284496;6816191,293170555;57055119,08
2026-08;59210220,49361186;18097728,886664886;2894833,707206405;1379790,3836392013;431924,9488776516;13365854,12
2026-09;1461644,3574619628;3712991,7330676233;366962,9825135551;148756,4595085525;217191,22744830608;4734073,04
2026-10;0,0;0,0;0,0;0,0;0,0;4734073,04
2026-11;0,0;0,0;0,0;0,0;0,0;4734073,04
TOTAL;549260794,6823016;198379486,09675926;47057301,869778514;9570188,906480122;9749763,974680454;128309014,08000003
