MES_VENC;IMP_OSPEVIC;IMP_OSPIF;IMP_OSPLYFC;IMP_OSSURRBAC;IMP_OSPM;IMP_SIN_ASIGNACION
2025-07;554155,3671677385;73379,32701121498;277574,57994911977;219158,35587192676;0,0;116980,91
2025-08;131422,45474194348;27368,615810866722;69943,87509587492;61727,46435131489;0,0;2404802,4
2025-09;655468,3841021841;173967,906190626;479846,77077681746;423478,4589303725;0,0;2404802,4
2025-10;156822,64038534614;41622,3071208741;114804,67921679538;101318,40327698439;0,0;0,0
2025-11;1969957,4963805783;866173,5594060402;1023527,1172757831;140750,05856439288;26154,25837320574;0,0
2025-12;1840290,2113061633;1191687,0938232774;803787,3579420735;189859,5469284858;0,0;0,0
2026-01;600000,0;0,0;0,0;0,0;0,0;48864,42
2026-02;1119691,5166748306;39505,13448512392;134920,01762523182;78928,97121481354;0,0;5000000,0
2026-03;600000,0;0,0;0,0;0,0;0,0;0,0
2026-04;23153871,783107802;9628802,913826633;744500,5030655639;0,0;0,0;0,0
2026-05;56363498,77679625;14786386,875289908;3152281,4038736764;461470,3476403754;577962,8563997917;4275500,0
2026-06;163403760,5097241;44303028,495146744;12844717,932796944;2364552,853790556;1575267,3685416642;17765205,68
2026-07;118571227,04413815;36064699,133434154;10258446,500729386;2572221,853466963;7213789,988231355;53885077,08
2026-08;59317938,69882269;17987577,608806014;2889064,2152530663;1373301,134781474;446616,76233675657;9090354,11
2026-09;1461644,3574619628;3712991,7330676233;366962,9825135551;148756,4595085525;217191,22744830608;4734073,04
2026-10;0,0;0,0;0,0;0,0;0,0;4734073,04
2026-11;0,0;0,0;0,0;0,0;0,0;4734073,04
TOTAL;429899749,24080974;128897190,7034191;33160377,936113887;8135523,908326211;10056982,46133108;109193806,12000002
