OP_NUMERO;CUIT;PRESTADOR;NRO_DOC;TIPO;REGIMEN;NRO_CERT;MONTO
1-8257;30708686499;AMPARAR S.R.L;8736500;GA;Locación de obras y servicios;156;126872,69
1-8263;30715649159;CAMARA DE ENTIDADES DE SALUD - CES;8737231;GA;Locación de obras y servicios;158;416802,3
1-8264;30714353493;CEMO S.A.;8737307;GA;Locación de obras y servicios;159;1935,9
1-8267;30715190253;CIDI S.A;8737786;GA;Locación de obras y servicios;161;9323,85
1-8271;30645574326;CLINICA PRIVADA DE ESPECIALIDADES DE;8737903;GA;Locación de obras y servicios;162;53260,19
1-8273;30682285431;CLINICA PRIVADA COAT S. R. L.;8752561;GA;Locación de obras y servicios;163;4014,4
1-8274;30660567840;CLINICA PRIVADA DE LA CIUDAD SOC RESP;8752601;GA;Locación de obras y servicios;164;11473,44
1-8276;30608875227;CLINICA PRIVADA INTEGRAL DE PSIQUIATRIA;8752660;GA;Locación de obras y servicios;165;84125,1
1-8277;30546133865;CLINICA PRIVADA JESUS MARIA DR ANIBAL;8752675;GA;Locación de obras y servicios;166;6021,25
1-8285;30680565224;COSEME SA;8752817;GA;Locación de obras y servicios;167;4512,79
1-8286;30623442566;DE LA VILLA SERVICIOS ASISTENCIALES S.A.;8752834;GA;Locación de obras y servicios;168;29578,68
1-8293;30716142015;GPAL BIOQUIMICA CLINICA S.A.S.;8752961;GA;Locación de obras y servicios;169;36735,4
1-8294;30709290866;GRUPO OPTICO SA;8752982;GA;Locación de obras y servicios;170;3697,08
1-8295;30659560093;INSTITUTO PRIVADO DE NEONATOLOGIA Y;8752998;GA;Locación de obras y servicios;171;21303,16
1-8296;30606141579;INSTITUTO PRIVADO DE RADIOTERAPIA S A;8753017;GA;Locación de obras y servicios;172;85176,6
1-8301;30708276878;PROMET S.R.L.;8753582;GA;Locación de obras y servicios;173;108712,62
1-8302;30694300487;RESONANCIA MAGNETICA SRL;8753725;GA;Locación de obras y servicios;174;9348,68
1-8304;30709956880;SAN FRANCISCO SALUD-CONSORCIO DE;8754128;GA;Locación de obras y servicios;175;300040,7
1-8305;30545879138;SANATORIO MORRA S A;8754279;GA;Locación de obras y servicios;176;14675,75
1-8306;30715227696;;8754287;GA;Locación de obras y servicios;177;5921,4
1-8307;30716784386;SOLBO S.A.S.;8754312;GA;Locación de obras y servicios;178;15678,3
1-8308;30711999074;UNIDAD DIGESTIVA BAISTROCCHI S.R.L.;8754323;GA;Locación de obras y servicios;179;14830,2
1-8313;30615571454;CLINICA PRIVADA DEL SOL S.A.;8756074;GA;Locación de obras y servicios;180;6107,23
1-8314;30580553040;POLICLINICO PRIVADO SAN LUCAS S A;8756833;GA;Locación de obras y servicios;181;4929,36
1-8315;30689767946;SANATORIO DEL SALVADOR PRIVADO SA;8756878;GA;Locación de obras y servicios;182;87129,16
1-8662;30681218285;SOP S R L;9033970;GA;Locación de obras y servicios;242;241611,84
1-8686;33717029009;LECOUSER S.A.;9036003;GA;Locación de obras y servicios;264;1956,6
1-8881;30545879138;SANATORIO MORRA S A;9158198;GA;Locación de obras y servicios;278;6923,94
1-8882;30545996991;CLINICA CHUTRO SRL;9158266;GA;Locación de obras y servicios;279;36781,68
1-8888;30608875227;CLINICA PRIVADA INTEGRAL DE PSIQUIATRIA;9158489;GA;Locación de obras y servicios;280;147712,2
1-8890;30615571454;CLINICA PRIVADA DEL SOL S.A.;9158590;GA;Locación de obras y servicios;281;64738,95
1-8891;30623442566;DE LA VILLA SERVICIOS ASISTENCIALES S.A.;9158650;GA;Locación de obras y servicios;282;14951,48
1-8893;30642081183;ROENTGEN S A;9158680;GA;Locación de obras y servicios;283;16984,0
1-8895;30645574326;CLINICA PRIVADA DE ESPECIALIDADES DE;9158708;GA;Locación de obras y servicios;284;10247,07
