fecha;saldo_cierre;ingresos_dia;egresos_dia;n_eventos
2026-06-10;86596208,19000001;0;36078943,3;7
2026-06-11;86596208,19000001;0;0,0;0
2026-06-12;86596208,19000001;0;0,0;0
2026-06-13;86596208,19000001;0;0,0;0
2026-06-14;85359803,48000002;0;1236404,71;1
2026-06-15;85359803,48000002;0;0,0;0
2026-06-16;85359803,48000002;0;0,0;0
2026-06-17;85359803,48000002;0;0,0;0
2026-06-18;85359803,48000002;0;0,0;0
2026-06-19;85359803,48000002;0;0,0;0
2026-06-20;84309803,48000002;0;1050000,0;1
2026-06-21;84309803,48000002;0;0,0;0
2026-06-22;84309803,48000002;0;0,0;0
2026-06-23;82982043,48000002;0;1327760,0;1
2026-06-24;82982043,48000002;0;0,0;0
2026-06-25;75867964,53000002;0;7114078,95;1
2026-06-26;75867964,53000002;0;0,0;0
2026-06-27;75867964,53000002;0;0,0;0
2026-06-28;75867964,53000002;0;0,0;0
2026-06-29;75867964,53000002;0;0,0;0
2026-06-30;-153105388,2;0;228973352,73;71
2026-07-01;-153105388,2;0;0,0;0
2026-07-02;-153105388,2;0;0,0;0
2026-07-03;-158105388,2;0;5000000,0;1
2026-07-04;-158105388,2;0;0,0;0
2026-07-05;-158105388,2;0;0,0;0
2026-07-06;-158105388,2;0;0,0;0
2026-07-07;-158105388,2;0;0,0;0
2026-07-08;-158105388,2;0;0,0;0
2026-07-09;-163105388,2;0;5000000,0;1
2026-07-10;-163105388,2;0;0,0;0
